%Gulf of Maine cod information derived from Palmer (2014) assessment,,
%M=0.2 scenario,,
%produced by Andrew J. Pershing, Gulf of Maine Research Institute,
%year,age-1 recruitment,SSB
1982,1.06E+04,2.25E+04
1983,1.15E+04,1.68E+04
1984,1.15E+04,1.38E+04
1985,8.91E+03,1.27E+04
1986,1.41E+04,1.18E+04
1987,1.50E+04,1.14E+04
1988,2.79E+04,1.19E+04
1989,4.28E+03,1.60E+04
1990,4.22E+03,2.08E+04
1991,7.49E+03,1.78E+04
1992,7.44E+03,1.11E+04
1993,9.65E+03,7.82E+03
1994,3.25E+03,7.26E+03
1995,3.45E+03,8.30E+03
1996,2.74E+03,8.64E+03
1997,4.50E+03,7.29E+03
1998,3.94E+03,6.43E+03
1999,7.87E+03,7.00E+03
2000,4.70E+03,9.30E+03
2001,1.17E+03,1.23E+04
2002,5.20E+03,1.23E+04
2003,1.90E+03,1.02E+04
2004,6.18E+03,8.79E+03
2005,3.77E+03,7.41E+03
2006,6.23E+03,6.96E+03
2007,4.60E+03,8.81E+03
2008,3.21E+03,1.01E+04
2009,2.10E+03,1.05E+04
2010,1.31E+03,8.86E+03
2011,1.54E+03,5.83E+03
2012,2.56E+03,2.99E+03
2013,7.08E+02,2.06E+03